"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2019",46.8700014928596,
"AUT","TRUSTGOV","TOT","PC","A","2019",51.2338260131346,
"BEL","TRUSTGOV","TOT","PC","A","2019",32.7901154348457,
"CAN","TRUSTGOV","TOT","PC","A","2019",54.9280966328576,
"DNK","TRUSTGOV","TOT","PC","A","2019",63.2999031726247,
"FIN","TRUSTGOV","TOT","PC","A","2019",63.9188147034123,
"FRA","TRUSTGOV","TOT","PC","A","2019",38.1849235823193,
"DEU","TRUSTGOV","TOT","PC","A","2019",56.8460427456982,
"GRC","TRUSTGOV","TOT","PC","A","2019",39.6424619237357,
"HUN","TRUSTGOV","TOT","PC","A","2019",48.3934186398412,
"ISL","TRUSTGOV","TOT","PC","A","2019",52.1377060493115,
"IRL","TRUSTGOV","TOT","PC","A","2019",58.1215976215141,
"ITA","TRUSTGOV","TOT","PC","A","2019",22.1925858303397,
"JPN","TRUSTGOV","TOT","PC","A","2019",41.1213650479192,
"KOR","TRUSTGOV","TOT","PC","A","2019",37.6757588549017,
"LUX","TRUSTGOV","TOT","PC","A","2019",78.0171007884326,
"MEX","TRUSTGOV","TOT","PC","A","2019",49.5231159478194,
"NLD","TRUSTGOV","TOT","PC","A","2019",61.6572239633327,
"NZL","TRUSTGOV","TOT","PC","A","2019",67.5200840959097,
"NOR","TRUSTGOV","TOT","PC","A","2019",59.7987006273954,
"POL","TRUSTGOV","TOT","PC","A","2019",49.7986028419138,
"PRT","TRUSTGOV","TOT","PC","A","2019",43.5605003837812,
"SVK","TRUSTGOV","TOT","PC","A","2019",23.097283281603,
"ESP","TRUSTGOV","TOT","PC","A","2019",36.7785864601752,
"SWE","TRUSTGOV","TOT","PC","A","2019",51.3281754260436,
"CHE","TRUSTGOV","TOT","PC","A","2019",80.6612709030345,
"TUR","TRUSTGOV","TOT","PC","A","2019",56.1260907192075,
"GBR","TRUSTGOV","TOT","PC","A","2019",34.0828862506267,
"USA","TRUSTGOV","TOT","PC","A","2019",36.277444009879,
"BRA","TRUSTGOV","TOT","PC","A","2019",34.0850087334004,
"CHL","TRUSTGOV","TOT","PC","A","2019",15.2523450266274,
"COL","TRUSTGOV","TOT","PC","A","2019",32.7981098741416,
"CRI","TRUSTGOV","TOT","PC","A","2019",28.3023851778735,
"EST","TRUSTGOV","TOT","PC","A","2019",40.3306536840262,
"ISR","TRUSTGOV","TOT","PC","A","2019",49.5666912173238,
"LVA","TRUSTGOV","TOT","PC","A","2019",23.9407668132642,
"LTU","TRUSTGOV","TOT","PC","A","2019",40.7248459410706,
"RUS","TRUSTGOV","TOT","PC","A","2019",43.6963839598187,
"SVN","TRUSTGOV","TOT","PC","A","2019",39.7150714930083,
"ZAF","TRUSTGOV","TOT","PC","A","2019",49.5906319870362,
